year/usd
1992/91 625 000 000
1993/196 752 000 000
1994/296 466 000 000
1995/335 664 000 000
1996/419 522 000 000
1997/433 619 000 000
1998/290 231 000 000
1999/209 770 000 000
2000/278 075 000 000
2001/328 276 000 000
2002/369 939 000 000
2003/460 746 000 000
2004/632 765 000 000
2005/817 752 000 000
2006/1 059 991 000 000
2007/1 391 683 000 000
2008/1 778 391 000 000
2009/1 309 174 000 000 
2010/1 632 841 000 000
2011/2 044 618 000 000 
2012/2 202 672 000 000
2013/2 289 244 000 000
2014/2 056 583 000 000
2015/1 363 707 000 000
2016/1 282 663 000 000
2017/1 578 417 000 000
2018/1 630 659 000 000
2019/1 610 381 000 000
2020/1 480 000 000 000
2021/1 780 000 000 000
2022/1 830 000 000 000
